smiles,papp,log10_papp,split
CC(=O)N1CCN([C@H]2CC[C@H](Nc3ncnn4ccc([C@H]5CC[C@H](C(N)=O)CC5)c34)CC2)CC1,0.7,-0.1549019599857432,train
CC(=O)N1CCN(c2ccc(NC(=O)Cc3cnc(-c4ccnc(F)c4)c(C)c3)nc2)CC1,7.5,0.8750612633917001,test
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,22.1,1.3443922736851108,train
CC(=O)N1CCN(c2nc(NCc3cc4ccccc4cn3)c3c(n2)C(=O)N(C(C)C)C3)CC1,0.6,-0.2218487496163564,train
CC(=O)N1CCN(c2nc(NCc3ccc(OC(F)(F)F)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,2.9,0.4623979978989561,train
CC(=O)N1CCN(c2nc(NCc3cnc4ccccc4c3)c3c(n2)C(=O)N(C(C)C)C3)CC1,0.1,-1.0,test
CC(=O)N1CCN(c2nc(N[C@H](C)c3ccc(OC(F)(F)F)cc3)c3c(n2)C(=O)N(C(C)C)C3)CC1,4.5,0.6532125137753437,train
CC(=O)N1CCN(c2nc3c(c(N(C)Cc4cc5ccccc5cn4)n2)CN(C(C)C)C3=O)CC1,2.9,0.4623979978989561,train
CC(=O)N1C[C@H](C(=O)Nc2ccc(C)cc2C)[C@@H](c2nnc([C@H]3C[C@@H](CC(C)C)C3)n2C2CC2)C1,20.0,1.3010299956639813,test
CC(=O)NC1(c2ccccc2)CCN(C[C@@H]2C[C@@]2(C(=O)N(C)Cc2ccccc2)c2ccc(Cl)c(Cl)c2)CC1,5.6,0.7481880270062004,train
CC(=O)NCCC(CC(=O)Nc1ccc(C)cc1C)c1nnc(CCCC(C)C)n1C1CC1,1.3,0.11394335230683679,train
CC(=O)NC[C@@H]1OC(=O)N2c3cc(F)c(C4=CCN(C(=O)CO)CC4)cc3OC[C@@H]12,4.14,0.617000341120899,test
CC(=O)NCc1ccc(S(=O)(=O)Nc2ccc(Oc3ccc(Cl)c(C(F)(F)F)c3)c(C#N)c2)cc1,1.1,0.04139268515822508,train
CC(=O)NCc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2,33.0,1.5185139398778875,train
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(C(=O)C(C)(C)C)C3)C2)c1cccc(F)c1,1.0,0.0,train
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(C(=O)C(C)C)C3)C2)c1cccc(F)c1,2.0,0.3010299956639812,train
CC(=O)N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1c(C)nc3c1CCN(C(C)=O)C3)C2)c1cccc(F)c1,1.0,0.0,train
